price,space,room,bedroom,furniture,latitude,longitude,city_area,floor,max_floor,apartment_type,renovation_type,balcony
157500,60,2,1,0,41.725203,44.7425619,Saburtalo District,7,8,old,old renovation,0
263600,58,2,1,1,41.7091395,44.7616907,Vake District,4,6,old,newly renovated,1
346000,70,3,2,1,41.71618948,44.71960587,Saburtalo District,2,18,new,newly renovated,0
544000,127,3,2,1,,,Other,2,9,old,newly renovated,1
133500,42,2,1,1,41.72056688,44.76056785,Saburtalo District,10,14,old,newly renovated,1
214200,55,2,1,1,41.7078907,44.7957079,Chugureti District,1,4,old,newly renovated,0
346000,81,3,2,1,41.6710145,44.8418127,Krtsanisi District,6,15,new,newly renovated,1
230700,111,4,3,1,41.79211049,44.76076299,Saburtalo District,12,14,old,newly renovated,0
257000,114.5,4,3,0,41.74160681,44.77372596,Didube District,8,9,old,not renovated,1
396500,57.3,2,1,0,41.71205676,44.75406207,Vake District,12,30,new,white frame,1
253700,86,3,2,0,41.7226882,44.73016114,Saburtalo District,14,15,new,newly renovated,1
286700,97,3,2,1,41.7658639,44.7905256,Nadzaladevi District,17,17,new,newly renovated,1
250400,80,4,3,1,41.67295765,44.83481203,Krtsanisi District,16,17,new,newly renovated,1
631700,142,4,3,0,41.72301095,44.75725055,Saburtalo District,11,20,new,newly renovated,1
440900,78,3,2,1,41.6964053,44.7938526,Mtatsminda District,2,3,old,newly renovated,1
312700,73.1,2,1,1,41.7093734,44.7698209,Vake District,8,22,new,newly renovated,1
329500,110,4,2,0,41.7704323,44.7748777,Didube District,1,4,new,newly renovated,1
163400,62,2,1,0,41.72142243,44.73851275,Saburtalo District,10,31,new,white frame,0
155500,59,2,1,0,41.72142243,44.73851275,Saburtalo District,11,31,new,white frame,1
207600,107.5,3,2,0,41.75811918,44.77455326,Didube District,15,17,Constructor,white frame,1
272300,87,3,2,0,41.7260891,44.7744363,Saburtalo District,12,22,new,white frame,0
151600,55,2,2,1,41.69775426,44.96349027,Other,3,5,old,not renovated,1
369100,140,3,2,0,41.7022129,44.7856469,Mtatsminda District,10,10,new,black frame,1
112000,30,2,0,0,41.70843486,44.78413128,Other,1,2,old,old renovation,0
449800,130,4,3,0,41.7228156,44.74524346,Vake District,4,8,old,newly renovated,1
324400,107,3,2,1,41.72217411,44.76684709,Other,4,12,new,newly renovated,1
115300,48,2,1,0,41.78806404,44.75004375,Saburtalo District,11,11,new,newly renovated,1
283400,72,2,1,0,41.71462354,44.79939769,Chugureti District,2,5,new,newly renovated,1
510700,200,5,3,1,41.72770362,44.79251792,Didube District,4,11,new,newly renovated,1
262000,100,4,3,1,41.74378909,44.79292447,Other,3,5,old,newly renovated,1
494300,110,3,2,1,41.70991342,44.78790709,Mtatsminda District,7,18,new,newly renovated,0
113700,42,2,1,0,41.79346875,44.82274575,Gldani District,3,17,new,newly renovated,1
148300,54.5,2,1,0,41.80050295,44.83089941,Gldani District,13,17,new,newly renovated,1
214200,102,3,2,0,41.76787168,44.77292505,Didube District,3,4,old,newly renovated,1
207600,72,3,2,1,41.7364242,44.7822534,Didube District,4,5,old,newly renovated,1
329200,108,5,4,0,41.72180481,44.78101363,Saburtalo District,15,16,new,white frame,1
126900,80,3,2,1,41.78118105,44.81922335,Nadzaladevi District,1,8,old,old renovation,0
295700,97,3,2,0,41.72146877,44.78114877,Saburtalo District,14,15,new,white frame,1
202600,58,2,1,0,41.72146675,44.78114793,Saburtalo District,9,15,new,newly renovated,1
157100,52,2,1,0,41.72177954,44.78101668,Saburtalo District,12,15,new,white frame,1
149100,58,2,1,0,41.72164434,44.78087001,Saburtalo District,2,15,new,white frame,1
141700,65,3,2,0,41.7271321,44.7880765,Didube District,3,3,old,newly renovated,0
82400,57,2,1,0,41.7677108,44.7876522,Nadzaladevi District,1,8,old,not renovated,0
234000,120,5,4,0,41.79553228,44.75799029,Saburtalo District,8,9,old,newly renovated,1
125200,40,2,1,0,41.7554926,44.766335,Saburtalo District,9,12,new,newly renovated,1
164800,96,4,3,0,41.7856281,44.8219953,Gldani District,4,8,old,newly renovated,1
202000,58,2,1,1,41.707897,44.73169445,Vake District,12,16,new,newly renovated,1
164800,65,2,1,1,41.6880141,44.8118123,Krtsanisi District,1,3,old,old renovation,0
210900,67,3,2,1,41.677494,44.846858,Isani District,6,12,new,newly renovated,1
112000,48,2,1,0,41.7903068,44.7593516,Saburtalo District,2,5,new,newly renovated,1
280100,19500,3,2,1,41.688671,44.8106334,Krtsanisi District,2,2,old,old renovation,0
659300,234,6,3,0,41.7309687,44.7564179,Saburtalo District,8,8,new,white frame,1
108700,50,1,0,1,41.80256982,44.82683327,Gldani District,5,9,old,newly renovated,1
214200,82,3,2,1,41.7034618,44.8498781,Isani District,5,13,new,newly renovated,1
510700,146,3,2,1,41.7093734,44.7698209,Vake District,0,6,old,newly renovated,1
273500,85,4,2,1,41.72307002,44.7194444,Saburtalo District,3,5,new,newly renovated,1
6287100,53,3,2,1,41.7942186,44.7589047,Saburtalo District,10,11,new,newly renovated,1
593100,200,5,3,1,41.73188365,44.8368763,Other,15,15,new,newly renovated,0
231300,54,2,1,1,41.72500677,44.763974,Saburtalo District,6,11,new,newly renovated,1
154900,45,2,1,1,41.71669582,44.76435987,Saburtalo District,12,14,new,newly renovated,1
220800,100,4,3,0,41.7260323,44.7995087,Nadzaladevi District,8,9,old,old renovation,1
125200,60,2,1,0,41.74999397,44.80920451,Didube District,8,8,old,old renovation,1
286700,74,2,1,1,41.69956693,44.79657133,Mtatsminda District,2,2,old,newly renovated,1
181200,63,2,1,1,41.707897,44.73169445,Vake District,10,11,new,white frame,1
178000,84,4,3,0,41.7659669,44.7925615,Nadzaladevi District,15,16,new,black frame,1
395400,95,3,2,0,41.7093734,44.7698209,Vake District,5,12,new,newly renovated,1
